Number of Star,Review
"No, these do not sound quite as good as a high quality wired set, but they sound very good considering they are wireless. If you are expecting the same just don't buy wireless. Battery life is very good and running them is not difficult. The app is pretty good with a very unique eq that takes some playing with to get right. I also use it in conjunction with my music player eq and they do very well together. These have great separation, good deep bass, and have the typical Sennheiser awesome mids and highs. Definitely a step above good for wireless.",5
"*** I AM MOSTLY A PC USER which isn’t really apart of the target market for these things, but I was looking for something wireless and light because I travel around a lot with a computer and I hate wires. LACK OF PC software: I know Pc users often get gaming headsets and  they’re not the target, but having no software is frustrating. See next sectio SMART PAUSE: first let me say, I was ready to return these things. Every time I looked down to my paper when taking notes, it would turn the head set off, then when I looked back up, it would go back on. That’s smart pause. As I understand it, the feature serves to turn the headset off when you’ve dropped them to your shoulders or take them off, but  Once you break the headset in and it starts getting uncalibrated from putting it on difference surfaces, the pauses happen at even less deliberate movements of your head. Small tilts of the head would cause it to pause. I tried turning off smart pause on the iPhone app but after I closed the app the settings would never save when I connected to my pc and disconnected from phone Bluetooth . I almost gave up but after a software update, I was able to turn off smart pause permanently by toggling it off in the app! The noise cancelling on these headphones is extremely It’s hard to describe but it feels as though the noise cancelling completely mutes ambient noises without making you feel like you’re on completely silenced from everything going on around you. If the door bell rings or something, I usually can still hear it if the volume isn’t too high which is a feature I appreciate. That said, if you’re using them to block out all noise, like on an airplane or something, I’d prefer something a little stronger - but these are perfect for my usage. Range; I can still hear these things in my bathroom upstairs, surprisingly excellent Sound quality: very high for wireless, but I’m not much of an audiophile. Battery life: once you turn off smart pause( which is a must if you intend on moving your head at all while using these) it’s pretty bad. It’s been 2 months and I think I get 10 hours of battery on a full charge ? Maybe it’s the industry standard but I’m constantly needing to charge these. Build quality; feels great at first but even after a few months of use, I can tell the frames feels flimsy, I feel like it would snap immediately if I stepped on them or something. Looks good, but definitely cheap materials outside actual ear pad radius",3
"Superb sound. Don't really care about noise cancellation (at home anyway, havin't tried them on a plane, for example). But....dammit...I sure get driven nuts with a couple of things. Connections......connects to my tv with zero problem...but no sound most of the time. Have to disconnect  and reconnect to get them to work. And I don't like the way they pause. Sometimes an inadvertant movement of the right earcup makes them pause....so I have to fuss with them to get them unpaused. Sure wish there was a way to just disable the pause feature in the app. That said...GREAT sound...I'd buy them again, even with the niggles.",4
"I would give it 5 stars, except for one major design flaw: the metal hinges that bend when you fold the headphones are sharp, and it’s easy to pinch your skin. (So easy, in fact, that there’s a warning label in the box about it!) I’ve been very careful, but after a few months of owning the headphones and using them daily, I’ve pinched the skin on my hand twice, both times drawing blood. I have no idea why this design flaw needs to exist, considering that I had both of the previous versions of the Momentum headphones and never had this issue.",4
"I had read a couple reviews complaining that the headphones can ""pinch"" your hand when you're unfolding them. I didn't realize it was so bad. The first time it happened, they actually drew blood! The second time it happened nearly did so as well. It hasn't happened a third time because I'm so careful now. The other thing, which I didn't see in any of the reviews I read, is that these headphones are just barely too heavy. While I've never had this problem with any headphones before, my neck actually hurts a little bit after wearing these for more than a couple of hours. Pros: the sound is fantastic, the app has an equalizer. It comes with an aux cable if you are bad about keeping it recharged. Charge cable is the same as my android phone. Battery life is really quite good though. Overall I sorely regret not getting Bose instead.",3
"I upgraded from the previous version (2.0), that I owned for 4+ years, and I can still use them - the 2.0 I own can't charge anymore, because of the port that broken of too many uses (they were used almost every single day, for at least 8h). I upgraded to these, and I can tell that while in terms of ANC if wasn't upgraded that much, the sound does live up to expectations. The sound quality is really good, and you can listen to pretty much anything as if it was played in front of you (kinda exaggerating, of course there's better headphones, but good for the price). The ANC is not as good as it could have been - but the sound quality definitely makes it for me, as it's good enough with sounds (and the ANC) that it actually hides pretty anything else. On the battery side, it lasts for about 16h from my use which is more that enough (volume dependent), especially if you travel a lot. The USB-C/A port makes it very easy to charge everywhere, and if you're without charge within 10 minutes it gets you to about an hour of charge, which is incredible if it's a long trip. Microphone - perfect for casual use, people might notice you're talking through the headset but the sound is very clear All in all, a very solid headset! Something I learned: if you feel annoyed by the sound stopping when you do a specific movement, - feat not! Just disable the ""Smart Pause"" feature in the mobile app, and when re-enabling it, it'll allow you to calibrate it to yourself so it actually becomes smart, and it does work every well. If you have the 2.0 and it still works as expected, I don't think it's an upgrade (in terms of price - if you can afford it, go for it). In all other cases, go for it! There's also other nice-to-have features, which just makes the overall experience amazing.",5
"Quality These headphones are high quality, no doubt. Leather and metal, nothing cheap about the build. I am rough on headphones, these will last you. Annoyances The 'smart' features are more of a hassle than a help, however. It is supposed to auto-pause and play when you take the headphones on and off. It will sometimes pause even though you didn't take the headphones off. More frustrating is the auto-switching. This can connect to 2 devices. When you start playing something on another device, it will automatically switch. Sometimes this works. Most of the time, you'll have to take the headphones off, close them, and open them to reset them. Or go on the device and manually switch it/disable Bluetooth on the device you don't want to hear. It's just a hassle really. I will be listening to something on my PC and then my phone gets an email, so the headphones switch over so I can hear the notification sound, but it won't switch back. Good The audio quality is great, as to be expected for the price. I will say, it's not as good as other headphones in this price range, the bass can sound overpowering with the Noise Cancelling on, and I love bass. But this bass isn't that clean, somewhat muddy. You can edit the EQ manually though, in the Smart Control app. Dont pay MSRP for these, not convinced they are worth it. But, I don't regret getting them. If you get used to the bugs with the smart features, these are simply nice Bluetooth headphones.",3
"I really do like these headphones, but they don't like me. Kept on automatically pausing my music and disconnecting from my phone. Maybe because I wore glasses, idk. But our relationship came to an end due to inconsistency.  -also they need to have the option to turn off Bluetooth so you can plug into the phone via audio cable and know that your saving power.",2
"These headphones, while visually pleasing and comfortable, miss the mark for me. * You cannot charge the headphones using a USB-C PD cable * ""Transparency-mode"" pauses the music and lets outside noise in, but you seemingly can't do both (maybe I did it wrong) * I was expecting warm reproduction of audio, but this bass-heavy monstrosity lacked mid-range punch and drowned out any hope of redemption with muddled and indecisive bass; vocals sound pretty damn good though so... /shrug * There is over a millimeter of play with the USB-C charge port in the headphone housing, so have fun returning your headphones to Sennheiser in a year after that falls apart and stops charging I was really hoping this was a step up from the original Momentum Wireless cans which I loved, but had to return twice due to charging ports and buttons failing over time. I jumped at the chance to own a pair of Momentum 3s with USB-C charging (oh, the future looks bright!) but I see Sennheiser is still cutting corners. Bummer :-/",1
"These headphones have a sensor to detect when the headphones have been taken off called ""smart pause"". Which sounds great, except that if I'm eating food the headphones turn off. If I'm drinking water they turn off. If I lean back into a pillow, it turns off. This ""feature"" causes WAY more problems than it's worth. Six months in and I want to throw them out the window it's so annoying. I had the predecessor headphones that I was much happier with.",1
"I've owned these headphones for nearly a year and love most of the features and overall quality/sound, but the Bluetooth connectivity has been a consistent pain to troubleshoot. In previous circumstances I was able to reestablish connectivity by following the help documents/app, but now they won't even go into pairing mode and I'm left with an expensive pair of wired headphones. I suspect there's an issue with the 3.5 mm headphone jack, when being unplugged, doesn't flip back to Bluetooth connectivity mode. I've reached out to Sennheiser support, but have yet to hear back. I'll be looking at different options and suggest others do the same. I'll update this review if Sennheiser support responds and a positive resolution is achieved.",1
"After using these cans, it is hard to go back to any other headphones. The sony xm3's and the bose 700 offer better noise canceling when compared to the Sennheiser's. But no one is going to need such a high level of noise-canceling in regular use unless they are frequent flyers. The sound quality is where the Sennheiser's shine. They have heavy bass without compromising the mids and highs. It makes any kind of music fun and enjoyable. You will never be disappointed with this purchase. People who value sound quality and comfort should definitely have this as their number 1 priority. The comfort is super amazing. so soft and the real lambskin leather enables me to wear it for prolonged time periods. They are Sennheiser, you can't go wrong.",5
"If you are looking for the best sound quality within this price range, this is the one. Sennheiser does not disappoint. But this headphone has been such a pain for online meetings as it has 1. frequent connectivity issue 2. unstable motion control. For #1, Bluetooth connection is often off with my Macbook (works fine with my phone though), which I experienced it several times a day. Aa for #2, if the headphone slides just a little bit from the ""right"" position or angle, it automatically mutes the microphone and it's extremely frustrating to turn it back on because sometimes I can't get that right angle over my head. Thus, for online meetings, I'm switching back to more reliable wireless earphone. I really do love the sound quality but unfortunately I won't use it as frequent as I thought I would.",3
When using these headphones with the blue tooth connection to a Sony A/V receiver the maximum volume is still too low for useful listening if you are doing anything besides sitting down. I use them while walking on a treadmill and even with the excellent noise-canceling these headphones have the volume is insufficient. My fix was to cut off the blue tooth and attach the headphones to the receiver with a 25-foot cable.,4
"1. Sound quality. They have curve on which sound will change in a first several months. This is unusual long curve, my ATH-M50x passed through this process much faster - it took two to three weeks. First month they sounded with excessive sub-bas, but lacking the punch at the same time. Next couple months excessive sub-bas gone, but sound was a bit hot with to much high frequency for my taste and still lacks mid-bass. Finally after about 3 month they sounds perfectly. Sound with bluetooth connection is very good, with usb it even better - you can hear more details and wider soundstage. Overall this is no-brainer best sound quality-wise ANC headphones on the market right now. 2. ANC One thing I noticed, Momentum 3 has very weak passive isolation, leading me never use it's ambient mode. Active noise cancellation blocks high amount of low frequency, but not much else. If it has better passive isolation, I think they'll be much closer to ANC performance of Sony's 1000XM3. 3. Battery Only 17 hours, but it's enough for me.",4
"Very good headphone for folks who know what music is supposed to sound like. Very comfortable to wear. It needs a better case though if you want to pack it — a hard shell, preferably. There may be better headphones for noise reduction (ANC), but, in some cases those vendors have sacrificed sound quality - I am thinking now of Sony which ruined their headphone when they went to the XM3. Their XM2 had been terrific!",5
"The good:  The music quality is off the hook, noticeably better than similarly priced headphones that I bought a few years ago.  It really is THAT good. The bad:  1) they are effectively useless for phone calls.  Whenever I try I get yelled at by my friends “I can barely hear you!” 2) the battery drains when not in use.  Inevitably I forget to plug in, so they are frequently dead when I need them. The verdict:  If you want to rock out with killer sound, buy em.  If you want general use headphones, look elsewhere",4
"Many other headphones come with the promise of gimmicks, all these features that really... at the end of the day you don't need. Do some of them make your life easier? Yes. But you don't need them. The only extra with real value is ANC but even that (at least for me) does not win out in importance over sound quality. With these headphones Sennheiser seems to have focused on one thing: beautiful sound. Do they have the best battery life? No, but they have plenty, I don't know anyone who listens to music for more than a couple hours anyway and as someone who's had some very long commutes, the battery life is fine. They also don't have all the cool software features of the Sony WH-1000XMH4 (and yes I did purchase the Sonys as well to try them) or the best of the best ANC. What makes these headphones worthy pf 5 stars is simply that they sound beautiful, absolutely beautiful. They recreate sound with amazing clarity and detail for wireless headphones, definitely a good step above the Sonys, so if you're anything like me and it really just comes down to the sound quality for you get these headphones.",5
"I did a lot of looking around before I purchased these.  I spent a lot of time reading blogs and checking out youtube videos and did some physical shopping as well and I am very glad I purchased these. Beyond the way they look (which I love--they have the old school charm of the headphones plugged into stereos in the 70s and 80s) they sound great, integrate with my phone and other sources easily, and the absolute kicker for me is the transparency mode. I find that noise cancelling headphones often leave me with a headache--apparently some people like myself experience ANC as ear pain--for me transparency mode cures that and also keeps me safe while I'm walking in my neighborhood.",5
"Everyone know how good these sound...but one major flaw is the bluetooth. Not blaming Sennheiser, since this is a general issue with bluetooth, but buyers should know. Even with bluetooth 5.0.  A- it often drop even at arm's length. B-. Lag, simply not suitable for gaming. Especially, online shooters like PUBG.  The smart pause--though nice most of the time- can be accidentaly truggered and can be annoying when you are just moving around.  ( reviewed with firmware 3.1.3)",4
"I wanted to like these headphones, but both my initial order and my replacement pair arrived with defective hardware on the right side. The first pair was ~60% quieter on the left, and the second had loud static with active noise cancelling enabled. The app is next to useless and these particular ear pads grew uncomfortable for extended listening. I'd say 4.5 stars of ""meets expectations"" if it weren't for the quality control issues.",3
"Accidentally clipped my finger when I was unfolding the headphone. Bluetooth priority is confusing. About the smart pause, it happened once that my iPhone started playing music instead of playing from the headphone for about 2 seconds. Not sure whether this related to iOS 13 or  not.",3
"I bought these  hoping for a decent sounding headphones.  That, they delivered, but there are some issues w these. The human hair thin connector jack first died out on one channel.  Then the other channel - now worthless.  The three way switch to inject the sound isolation circuit now only flips to two of the selections.  Connection issues are prevalent.  As long as the headphones have been charged - no problems.  Just don't be 20' away OR turn your head too quickly.  I had a pair of IEMs from this company - sounded good - but the bluetooth connection was weak on those as well.  Bluetooth is like on version 5 right now.  There should be no bluetooth issues.  Decent sound fair to poor battery life and the overall cheapness of the plastic/switches leads me to not recommend these.  Especially since there are many other headphones for the same amount of money.",3
"5/5 Sound quality when wireless. When I plugged in for wired sound expecting to be blown away, the output was only occurring in one ear. No matter... I plan on using these wirless 95% of the time 3/5 Noise Cancellation. Being generous with this grade. I love how their are three settings (4 if you include transparent hearing), but the settings differ from ""is noise cancellation on? (Low)"" to ""ah! I think it is on. (Medium/""Wind setting?"")"" to ""I guess it is on.. but ill just turn the volume up. (Max)"" 1/5 Accessories: Well they included the charger... but not the usb-c block. When using other companies blocks, such as apple, I have heard but not experienced that there have been issues. The headphone cord simply does not work. The carrying case will carry your headphones but by no means protect. Design is great and why I am not giving this 2 stars. But a lot of issues with this product. Only reason why I have not returned them yet is because I ordered a different pair of headphones and waiting for them to be delivered.",3
"Amazing sound, great for pop and metal Updates: My subjective opinions: After one week of serious listening on these, the bass sounds too much. The headband adjuster is loose and I need to adjust them constantly. The earcup is just a little bit too small for me (I have big head and ears) but it shouldn't be a problem for most of the people. Overall, this headphone is probably the best choice for noise cancelling headphone. Before purchase, you should consider if you really need noise cancelling - if not, there are many, many better choices.",4
"My old Momentums died out on me so it was time for an upgrade. The sounds on this is stellar, i enjoy the small equalizer you get in the downloadable app. I tested out the noise cancellation and it does a pretty good job, im not disappointed in any way! Other than me having a small head so i have to break them in so they dont squeeze my head too hard! I look forward to playing games with these one too. Worth the money",5
Awesome set of headphones. Moving from Studio Beats to these was such an improvement. Sound quality is very good. The noise canceling is really good as well. Feel really nice on the head. The build quality is top notch. Just wish the ear cups were made of cloth instead of the leatherette. Kind of pricey but well worth the upgrade. You will not be disappointed.,5
Not a audiophile guy but it does sound like Sony's WHXM3 which provides similar sound quality but better ANC. The lows are really heavy and ruin the mids and highs.,3
"When I turn my head to the side headphones think I’m taking them off, pausing audio. That’s mildly annoying. When multiple devices are connected, headphones have a mind of their own on what should be played and where. I’ve messed with this a lot and it is very squirrelly. You can pause your music turn on a YouTube video, and it will mute the youtube video and resume your music on the other device (not through headphones). OR you have to figure out which app is the preferred app at the time on which device, otherwise your music/video will auto pause over and over until you disconnect all your devices and only have one source of audio on one device. You cannot play music in the background while on a call. I cannot stress enough how annoying this is 6 MONTHS into owning the headphones. The sound quality, is excellent. They are comfortable for a long time, and the battery life/noise canceling are fine. If they can fix the ""smart"" software these headphones will be excellent. As it stands I wouldn't recommend these to anyone.",3
"I purchased an open box pair of headphones which were in pristine condition for $250 US dollars. Unlike most YouTube reviews of these headphones I found the carrying case to be great, and water proof/resistant judging by its zipper. Great sounding cans, modern Tech with Bluetooth 5.0 and a super solid construction. Metal headband with sheepskin leader.",5
Used these for listening to music and watching television.  In theory they were supposed to be able to pair to 2 devices.  Sometimes they would and other times not.  The final straw was when I wanted to use them on my phone and they wouldn't unpair with the TV.  At that point in time I was beyond the return time on Amazon so I put them in the trash.,3
"these were an upgrade to my vmoda lp. at first i was considering buying another headset from vmoda but since it would have costed me around 400 dollars anyway i decided to look around the market at the 400 dollar price range. after much research i found these to be the best at the price range and bought them. after about 2+ months using them i can say for a fact that this is the best headphones i have owned, the quality is top notch, premium materials, and physical buttons. the sound quality after tuning it to my ears  it is superb. i have no complaints at all",5
"I've been shopping around for a great pair of noise cancelling headphones for a few months now. I have been working from home and now I am preparing to take the bar, but I have a roommate who also works from home. Our desks are 10 feet apart and now, when I'm studying with these on, I can't hear her at all. The options and sensitivity of these are A1 and far surpass the need I had for them.",5
"If like myself, you just care about audio quality this is the choice for you! The noise cancelling is decent but not perfect, also there is some static noises that can be heard at certain times. Battery life is also decent. I dont know if this is a common issue but there seems to be an issue with the sensors on the ear muffs which put calls on mute when i haven't moved them away from my ears at all. All in all minor complaints on an otherwise good product",5
"The new bass king.  Deeper and more quantity of bass than any other headphones Ive heard including the bass cannons JVC SZ2000.  It's a Sennheiser.  You wont be disappointed.  If it doesn't rattle every single neuron in your brain, then you can return it.  It wont leave a single one left out.",5
"Sound is the best I have heard coming from noise cancelling headphones The noise cancelling is top notch and they are comfortable enough to a point where I can listen to these for hours at a time. Build quality, materials are also up there. Way better fit and sound than my previous pair of Sennheiser PXC 550. I give it 4 out of 5 only because there is a pinch issue when you unfold the ear cups that grabs the skin on your hand between your thumb and index finger. Doesn't happen all the time but you'll notice it when it does.",4
"There is a slight static noise with the Vocals of singers at higher volumes out of the box.But if you adjust the EQ with the Smart Control app just a tiny hair,it goes away.So it must have something to do with the sound digitalizer or whatever it's called.But besides that these sound amazing.",5
"Excellent headphones with clear sound and comfortable. Main issue : Youtube keeps pausing after 5s. The headphone has a smart feature called : Smart pause that automatically pause whatever you are listening when you take the headphone off. Sadly, it is buggy. A google search will show that some users experience this including mine so I had to return them. In my case, despite turning the option off via an apps, turning off and on the headphone, and reading solution online like updating the firmware. The issue still happens.  So I have to return them.",3
These are the 2nd pair of Sennheiser’s that I have owned. I owned the M2’s before buying the M3’s. I’m going to get this out of the way 1st. The M3’s are the best headphones on the market currently at any price point in terms of sound quality. These headphones are more for delivering high quality sound vs say Bose noise cancelling headphones that are more catered to noise cancellation. I rather listen to rich music with optimum isolation from background noise vs perfect isolation and mediocre sound. Buy them if you are serious about listening to music the way it was made in the studio.,5
"I LOVE these headphones! I changed from the Beats over-the-ear ones to these and it’s definitely a noticeable upgrade. The battery seems to last a super long time, it links to my phone very quickly after being turned on, and it was the auto on/off when the headphones are folded in/out. It’s so easy! Completely seamless. The sound is fantastic! I’m new to the noise canceling world so have nothing to compare it to, but I can’t hear anything else when these are on. I love the look of them and they feel super luxe too. Totally ditching any other headphones I have (other that the Sennheiser’s in-ear ones cause those are amazeballs as well).",5
"I would highly recommend these over Bose, AirPods max, Sony’s, and any other headphones in the price range if you like the look of these. The sound is tremendous, but the retro look and high quality feel really help drive this product home for me. Unfortunately there is a downside to these headphones and that is the noise canceling. While not bad, I was expecting much more figuring my old $100 pair of headphones has just as good noise cancelling as these. It gets the job done, but at a price rate of $400, I was hoping to say more than that about the noise cancelling.",5
"Love these headphones.  I bought (and returned) 4 different bluetooth headphones before keeping these (including the Focal Listens which I hated). The sound is very clear and full. I didn't want the Bose because it makes every song sound like ""Bose"". The app/EQ lets you tune the music to your taste, I like heavy bass on some songs, but not on EVERY song. The only con I can think of is, the Soundstage is small... BUT you can put bigger pads on these to open it up a bit, Brainwavz Ovals do a very nice job.",5
"The sound coming through these headphones is amazing. The soundstage is amazing. It's like going from 2D to 3D when comparing it to many headphones in the price range. This allows you to appreciate the detail in each instrument and voice. The materials feel very durable, well made, and comfortable. They are snug, without being too tight. They also come with quite a few convenient features that make them very practical too. I would strongly recommend them to anyone looking for great sounding BT headphones.",5
"I love the build quality and sound. I own the HD650, so it's safe to say I expect a lot from Sennheiser headphones. The noise cancelation is passable but less than impressive. The battery life is more than enough for me but significantly less than others at this price point. The real issues are connectivity. I often lose connection outdoors sporadically. It's almost as if someone is pulling on the non-existent cable. Furthermore I am unable to connect to the tile app. That said I would award 5 stars if these last two issues were resolved.",3
My Son LOVES them.  He has a great ear for music and has high expectations.  These have exceeded our expectations.  He frequently uses them wired without noise cancellation ant that has been great too.  Nice to not have to worry if they are charged.  Uses them regularly on iPhone and Mac Book Pro.,5
"I PAID FOR A 3 YEAR WARRANTY THROUGH AMAZON PRIME (ASIN BO7PC35J78) WITH ASURION. WHEN THIS PRODUCT GOT DAMAGED I CONTACTED ASURION APPROXIMATELY 3 WEEKS AGO, THEN ON JUNE 2 AND AGAIN TODAY. I STILL HAVE NOT HEARD BACK. THIS IS TOTALLY UNACCEPTABLE AND AMAZON SHOULD NO LONGER BE ASSOCIATED WITH THIS INSURANCE WHICH IS KNOWN TO HAVE AN EXTREMELY LOW AND POOR RATING. HOPEFULLY AS A LONG TIME MEMBER OF AMAZON PRIME, AMAZON WILL BE ABLE TO ASSIST ME SO THAT THE DAMAGED PRODUCT CAN BE REPLACED AS EARLY AS POSSIBLE. THANKS.",5
"The positive is the speaker sound quality.  It's fantastic.  However, the bluetooth doesn't work at all and the mic is horrible.  No one can hear me when I use them to make a call and in the middle of every call the bluetooth disconnects.  I was so excited to get these and now I'm stuck with a $350 pile of junk.  I'm going back to Bose. I should have never tried to ""upgrade"" from Bose as they always worked well.",1
These headphones  are the best when  i get more money iam buying a secound pair  these headphones  sound incredible  the only one thing i didnt like is they should of came with a hard shell case,5
I love this product strictly for the music quality. If you want noise cancellation call quality go with the bows for call quality and the Sony XM three for noise cancellation. However if you want strictly music go with these you will not be disappointed,5
great sound and built quality is un matched. Not the best ANC out there but among the top three. this is my second pair and have been a Sennheiser fan since.,5
"These are outstanding over-ear, wireless headphones. They are lightweight, easily adjustable for fit and the sound quality is very good. The cup-mounted buttons are easy to use and quite intuitive. Battery life looks good too!",5
"Incredible fn sound...if you’re laying stationary, on your back. Don’t move an inch though, or they’ll the Bluetooth connection. To anything, really. iPhone, iPad, MacBook... it’s a damn shame that headphones of the quality (the sound is A+) could have hangups like this",3
"Great sounding, comfortable, and 4/5 on noise cancellation. Folding on/off is very convenient. USB-C for fast charging. Well worth the cost imo.",5
"These headphones sound great playing music. They sound terrible on phone calls, and are very quirky interacting with apple products. Example connecting to my Apple TV  4K, it kept disconnecting and starting the music on my phone. Disappointed in the quality of the product over all. There were stitches missing in the headband as well. Wanted to like these but was very disappointed.",2
"Very pleased, well executed product that is worth the money... Design: Can’t say enough - material, form, function - the art of industrial design is alive and well in the country of its birthplace Sound: My tastes -  classical, opera, jazz - all sound excellent Controls: Intuitive, tactile with firm locating and operating feedback Setup - flawless and simultaneous  connection to 2 iPhones 8 iOS 14.1 Comfort - great, easily adjustable",5
"These headphones bring great quality sound, seamless pairing, and a working mic for phone calls. Very comfortable. The auto-pause feature is sometimes a little finicky, but otherwise an excellent pair of headphones.",5
These sound just ok. Heard static out of left side but they were also too big for my head and when I laid down they’d fall off. Very bulky compared to Sony 1000.,3
The sound on this model is phenomenal. I upgraded from the first gen and was sceptical about it being that much better and was happily proven wrong.,5
"Hey all I'm going to say if you're looking for BLUETOOTH headphones with the highest sound quality stop looking...these headphones had me sounding like a 80's valley girl ""OMG!!""  May not have the best anc in its class or the best battery but with sound like this who cares!! Money well spent!!",5
Noise cancellation is good enough to drown out the background noise of plane engines while on a flight. Some of the best sound quality I've ever had with headphones. The bass booms but doesn't ever drown out highs or mids. Battery life will last you a flight from Seattle to Ft Lauderdale.,5
Got someones returned dirty used pair of headphones i dont know how amazon considers this new gross,1
Replaced my xm 4 with these once and they sound so much better but not as good ANC,5
Really pleased with the purchase. I bought them for my wife's birthday gift and they sounded great and looks trendy.,5
"I got the momentum 3's strictly for sound ANC isn't a concern. Wow these deliver on sound, bass very impressive, mids for vocals and highs are spot on",5
"As stated in the title, the sound quality was great as to be expected from Sennheiser. The improved controls in comparison to the last model were the main selling point for me. Battery life is a bit worse then the momentum 2.0 but it is livable.",4
Sounds great and is easy to connect to my devices.,5
What i liked of this product was ear size. I have big ears but that is the only good quality. What i dislike is the sound and ANC they r too weak for a $300 earphones. I rather go back to my $170 earphone then keep these. And it has all the features of this one.,2
"I've had my pair for about 8 months and have had numerous issues, such as Bluetooth disconnections, static, and today the right side stopped working. I'm very disappointed and this will probably be my last pair from Sennheiser. *Update Senheiser replaced the broken headphones and the new ones have been working great for a few months now!",5
"Absolute garbage for its price. - Flaky behavior. Switches between devices or loses connection constantly. - Sound is very subpar. Not terrible, but not better than 30$ headphones.",2
Amazing sound ! So crisp and clear with great base. These look retro but have all the modern features. I live they turn on when opened and pause / play when removed or put back on. Way better than Bose hands down.,5
Amazing quality that you would associate with Sennheiser. Returned it though because I have a rather small head and it had the tendency to shift around/fall off if I were to move my head around or look down.,4
Omg Tool in these. Omg... It's like listening to my monitor audios in my headphones.,5
heavy on the head,3
"Sound quality was bad. Any higher frequency would show that clearly a driver was damaged. Had to return. Sorry for such a high-end device, it should not happen.",2
Amazing sound. They sound exactly like a $400 pair of sennheisers should,5
"You cannot mute the microphone via the mute button on the headset in windows 10, teams or Skype",1
Bought a month ago. 2 weeks later speakers started to blow. Figured just defective. Replaced with warranty and same thing happened. Sennheiser claims no break in period required at all and only ran 3/4 volume at most for use. Besides the speakers blowing out the auto pause can be finicky.,2
thanks you Good product,5
"This headphone set is premium. It’s got great sound, great battery life, and exceedingly comfortable to wear, and can even be worn, lying down.",5
"Blue tooth sucks, it disconnects or stop working mid call, noise isolation sucks too. Not worth the price tag. Buying Sony next.",1
Defective product wont send a replacement poor seller,1
I love the way these headphones sound. The bluetooth connection is erratic. Sometimes perfect other times dropping every 10 minutes or pausing. If they didn't sound great I would return these. I have to call Sennheiser to see if they can trouble shoot,3
If you wear glasses you might want to pass on these.,1
"Great sound and easy setup. Noise cancellation works pretty well. Unfortunately the different modes are locked behind the Sennheiser app as far as I know, and the app is terrible.",5
"Sound feel so real in these headphones especially with wired connection. Definitely suggest this product who really enjoys good quality music. You won’t regret for the money spent on music quality., except battery life",4
Best sounding phones on the market with more than adaquate mood cancelling,5
"Sounds was amazing, microphone was too poor for work and phone calls. Noise canceling was good but could be better.",4
"Use it for TV listening.  Sound quality is OK, but not great.  Ambient sound control is on/off only (no volume control).  Unable to get cellphone sound through the earphones.  Overall, I'm not impressed.",3
I was more the pleased with these headphones. Sound quality blew me away.,5
"The sound quality of Sennheiser Momentum 3 is very good, the bass is strong, the mid-tone tone is also very pleasant, the treble is not harsh. The manufacturing quality is very good. It's great for listening to music and movies.",5
Best sound from a head phone I've ever heard. Had headphones from the 1970s till now. Listen to music  with it. Clean sound. Interments separation is superb. Great wearing comfort too.,5
"It was great except that it made my ears too warm. That doesn't bother a lot of folks, but I'm peculiar this way.",3
Hubby loves them but not all smart devices are compatible,5
Quite bulky. If you have a small head then they might look a bit silly. But the sound quality is incredible and well worth the purchase.,4
"Had to buy a microphone. However, the sound quality is really good!",5
I use these at work. Helps drown out noise in the office & lab. Auto-connect and auto-resume features are great! I love the materials.,5
Seems to have issues with initial connection. No matter what I do it makes a random popping noise. It's especially noticable during movies.,3
"Gift for my husband, he absolutely loves them",5
"Outstanding noise quality and app to customize EQ. Top notch sound, will not disappoint.",5
"The construction is one of the best as well as the sound, the only point to improve is the battery",4
Great Product,5
The noise canceling is terrible and poor battery life,3
these have incredible sound quality .,5
bruh gamestop naenaed some rich people's wallets bc they said something dum :o,5
these suck good for square big heads only,1
Some of the best sound quality you'll ever experience in an extremely well built package.,5
"Sound is amazing!! NC just OK! Battery life is fair!! All that being said, I really like them!!",5
So much better than my sony headphones which broke four times in the same place even after i replaced parts and treated them delicately,5
Ear muff arrived loose and then fell off. Cannot replace. Ergonomics are awful.,3
Super headphones with great sound.,5
Noise cancelling is just so so Great sound quality very detailed,5
Good,5
"Sounds amazing, n/c is good, very comfortable. A bit bulky but good fit!",5
Best headphones I've ever owned by far.,5
Supreme sound,5
